ano,mes,ppm
1981,jul,340.32
1981,ago,338.26
1981,set,336.52
1981,out,336.68
1981,nov,338.19
1981,dez,339.44
1982,jan,340.57
1982,fev,341.44
1982,mar,342.53
1982,abr,343.39
1982,mai,343.96
1982,jun,343.18
1982,jul,341.88
1982,ago,339.65
1982,set,337.81
1982,out,337.69
1982,nov,339.09
1982,dez,340.32
1983,jan,341.2
1983,fev,342.35
1983,mar,342.93
1983,abr,344.77
1983,mai,345.58
1983,jun,345.14
1983,jul,343.81
1983,ago,342.21
1983,set,339.69
1983,out,339.82
1983,nov,340.98
1983,dez,342.82
1984,jan,343.52
1984,fev,344.33
1984,mar,345.11
1984,abr,346.88
1984,mai,347.25
1984,jun,346.62
1984,jul,345.22
1984,ago,343.11
1984,set,340.9
1984,out,341.18
1984,nov,342.8
1984,dez,344.04
1985,jan,344.79
1985,fev,345.82
1985,mar,347.25
1985,abr,348.17
1985,mai,348.74
1985,jun,348.07
1985,jul,346.38
1985,ago,344.51
1985,set,342.92
1985,out,342.62
1985,nov,344.06
1985,dez,345.38
1986,jan,346.11
1986,fev,346.78
1986,mar,347.68
1986,abr,349.37
1986,mai,350.03
1986,jun,349.37
1986,jul,347.76
1986,ago,345.73
1986,set,344.68
1986,out,343.99
1986,nov,345.48
1986,dez,346.72
1987,jan,347.84
1987,fev,348.29
1987,mar,349.23
1987,abr,350.8
1987,mai,351.66
1987,jun,351.07
1987,jul,349.33
1987,ago,347.92
1987,set,346.27
1987,out,346.18
1987,nov,347.64
1987,dez,348.78
1988,jan,350.25
1988,fev,351.54
1988,mar,352.05
1988,abr,353.41
1988,mai,354.04
1988,jun,353.62
1988,jul,352.22
1988,ago,350.27
1988,set,348.55
1988,out,348.72
1988,nov,349.91
1988,dez,351.18
1989,jan,352.6
1989,fev,352.92
1989,mar,353.53
1989,abr,355.26
1989,mai,355.52
1989,jun,354.97
1989,jul,353.75
1989,ago,351.52
1989,set,349.64
1989,out,349.83
1989,nov,351.14
1989,dez,352.37
1990,jan,353.5
1990,fev,354.55
1990,mar,355.23
1990,abr,356.04
1990,mai,357
1990,jun,356.07
1990,jul,354.67
1990,ago,352.76
1990,set,350.82
1990,out,351.04
1990,nov,352.69
1990,dez,354.07
1991,jan,354.59
1991,fev,355.63
1991,mar,357.03
1991,abr,358.48
1991,mai,359.22
1991,jun,358.12
1991,jul,356.06
1991,ago,353.92
1991,set,352.05
1991,out,352.11
1991,nov,353.64
1991,dez,354.89
1992,jan,355.88
1992,fev,356.63
1992,mar,357.72
1992,abr,359.07
1992,mai,359.58
1992,jun,359.17
1992,jul,356.94
1992,ago,354.92
1992,set,352.94
1992,out,353.23
1992,nov,354.09
1992,dez,355.33
1993,jan,356.63
1993,fev,357.1
1993,mar,358.32
1993,abr,359.41
1993,mai,360.23
1993,jun,359.55
1993,jul,357.53
1993,ago,355.48
1993,set,353.67
1993,out,353.95
1993,nov,355.3
1993,dez,356.78
1994,jan,358.34
1994,fev,358.89
1994,mar,359.95
1994,abr,361.25
1994,mai,361.67
1994,jun,360.94
1994,jul,359.55
1994,ago,357.49
1994,set,355.84
1994,out,356
1994,nov,357.59
1994,dez,359.05
1995,jan,359.98
1995,fev,361.03
1995,mar,361.66
1995,abr,363.48
1995,mai,363.82
1995,jun,363.3
1995,jul,361.94
1995,ago,359.5
1995,set,358.11
1995,out,357.8
1995,nov,359.61
1995,dez,360.74
1996,jan,362.09
1996,fev,363.29
1996,mar,364.06
1996,abr,364.76
1996,mai,365.45
1996,jun,365.01
1996,jul,363.7
1996,ago,361.54
1996,set,359.51
1996,out,359.65
1996,nov,360.8
1996,dez,362.38
1997,jan,363.23
1997,fev,364.06
1997,mar,364.61
1997,abr,366.4
1997,mai,366.84
1997,jun,365.68
1997,jul,364.52
1997,ago,362.57
1997,set,360.24
1997,out,360.83
1997,nov,362.49
1997,dez,364.34
